"12812: Kommunestyre- og fylkestingsvalget. Valgdeltakelse (prosent), etter region, alder, statistikkvariabel, fireårlig og kjønn"

"region";"alder";"Valgdeltakelse 2019 Begge kjønn"
"1848 Steigen";"18-19 år";32.9
"1851 Lødingen";"18-19 år";48.9
"1853 Evenes - Evenássi";"18-19 år";79.4
"1856 Røst";"18-19 år";:
"1857 Værøy";"18-19 år";:
"1859 Flakstad";"18-19 år";53.1
"1860 Vestvågøy";"18-19 år";49.8
"1865 Vågan";"18-19 år";37.7
"1866 Hadsel";"18-19 år";55.6
"1867 Bø (Nordland)";"18-19 år";51.7
"1868 Øksnes";"18-19 år";42.2
"1870 Sortland - Suortá";"18-19 år";44.6
"1871 Andøy";"18-19 år";54.8
"1874 Moskenes";"18-19 år";33.2
"1875 Hamarøy";"18-19 år";43.8
"5401 Tromsø";"18-19 år";58.9
"5402 Harstad";"18-19 år";49.3
"5403 Alta";"18-19 år";39.4
"5404 Vardø";"18-19 år";52.1
"5405 Vadsø";"18-19 år";36.7
"5406 Hammerfest";"18-19 år";44.0
"5411 Kvæfjord";"18-19 år";39.0
"5412 Tjeldsund";"18-19 år";35.7
"5413 Ibestad";"18-19 år";64.7
"5414 Gratangen";"18-19 år";53.6
"5415 Loabák - Lavangen";"18-19 år";55.6
"5416 Bardu";"18-19 år";54.9
"5417 Salangen";"18-19 år";46.4
"5418 Målselv";"18-19 år";60.4
"5419 Sørreisa";"18-19 år";40.2
"5420 Dyrøy";"18-19 år";64.7
"5421 Senja";"18-19 år";41.5
"5422 Balsfjord";"18-19 år";42.1
"5423 Karlsøy";"18-19 år";49.5
"5424 Lyngen";"18-19 år";59.6
"5425 Storfjord - Omasvuotna - Omasvuono";"18-19 år";56.6
"5426 Gáivuotna - Kåfjord - Kaivuono";"18-19 år";43.5
"5427 Skjervøy";"18-19 år";49.3
"5428 Nordreisa";"18-19 år";46.7
"5429 Kvænangen";"18-19 år";57.4
"5430 Guovdageaidnu - Kautokeino";"18-19 år";38.4
"5432 Loppa";"18-19 år";:
"5433 Hasvik";"18-19 år";28.6
"5434 Måsøy";"18-19 år";32.0
"5435 Nordkapp";"18-19 år";72.7
"5436 Porsanger - Porsángu - Porsanki";"18-19 år";51.1
"5437 Kárásjohka - Karasjok";"18-19 år";66.2
"5438 Lebesby";"18-19 år";50.0
"5439 Gamvik";"18-19 år";22.3
"5440 Berlevåg";"18-19 år";:
"5441 Deatnu - Tana";"18-19 år";50.0
"5442 Unjárga - Nesseby";"18-19 år";:
"5443 Båtsfjord";"18-19 år";50.0
"5444 Sør-Varanger";"18-19 år";45.2
"2111 Longyearbyen";"18-19 år";.
