"12812: Kommunestyre- og fylkestingsvalget. Valgdeltakelse (prosent), etter region, alder, utdanningsnivå, statistikkvariabel, fireårlig og kjønn"

"region";"alder";"utdanningsnivå";"Valgdeltakelse 2019 Menn";"Valgdeltakelse 2019 Kvinner"
"3006 Kongsberg";"25-44 år";"Utdanningsnivå i alt";45.6;53.4
"3006 Kongsberg";"25-44 år";"Grunnskolenivå";30.8;31.4
"3006 Kongsberg";"25-44 år";"Videregående skolenivå";44.1;47.3
"3006 Kongsberg";"25-44 år";"Universitets- og høgskolenivå";59.2;65.4
"3006 Kongsberg";"25-44 år";"Uoppgitt eller ingen fullført utdanning";16.5;24.6
"3006 Kongsberg";"45-66 år";"Utdanningsnivå i alt";67.0;71.6
"3006 Kongsberg";"45-66 år";"Grunnskolenivå";43.5;53.5
"3006 Kongsberg";"45-66 år";"Videregående skolenivå";66.3;71.1
"3006 Kongsberg";"45-66 år";"Universitets- og høgskolenivå";79.2;82.1
"3006 Kongsberg";"45-66 år";"Uoppgitt eller ingen fullført utdanning";22.1;28.7
"3006 Kongsberg";"67-79 år";"Utdanningsnivå i alt";81.0;78.5
"3006 Kongsberg";"67-79 år";"Grunnskolenivå";61.8;63.2
"3006 Kongsberg";"67-79 år";"Videregående skolenivå";80.9;79.5
"3006 Kongsberg";"67-79 år";"Universitets- og høgskolenivå";89.4;91.1
"3006 Kongsberg";"67-79 år";"Uoppgitt eller ingen fullført utdanning";17.4;33.3
"3006 Kongsberg";"80 år eller eldre";"Utdanningsnivå i alt";69.0;60.5
"3006 Kongsberg";"80 år eller eldre";"Grunnskolenivå";56.9;52.0
"3006 Kongsberg";"80 år eller eldre";"Videregående skolenivå";67.7;64.8
"3006 Kongsberg";"80 år eller eldre";"Universitets- og høgskolenivå";79.1;75.8
"3006 Kongsberg";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";50.0;37.5
"3007 Ringerike";"Alder i alt";"Utdanningsnivå i alt";56.4;61.5
"3007 Ringerike";"Alder i alt";"Grunnskolenivå";42.2;48.6
"3007 Ringerike";"Alder i alt";"Videregående skolenivå";60.0;62.8
"3007 Ringerike";"Alder i alt";"Universitets- og høgskolenivå";74.5;75.4
"3007 Ringerike";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";19.3;24.7
"3007 Ringerike";"18-19 år";"Utdanningsnivå i alt";47.7;60.6
"3007 Ringerike";"18-19 år";"Grunnskolenivå";48.0;62.0
"3007 Ringerike";"18-19 år";"Videregående skolenivå";.;..
"3007 Ringerike";"18-19 år";"Universitets- og høgskolenivå";.;.
"3007 Ringerike";"18-19 år";"Uoppgitt eller ingen fullført utdanning";..;..
"3007 Ringerike";"20-24 år";"Utdanningsnivå i alt";30.0;42.9
"3007 Ringerike";"20-24 år";"Grunnskolenivå";25.0;29.4
"3007 Ringerike";"20-24 år";"Videregående skolenivå";33.7;46.9
"3007 Ringerike";"20-24 år";"Universitets- og høgskolenivå";:;:
"3007 Ringerike";"20-24 år";"Uoppgitt eller ingen fullført utdanning";21.1;20.0
"3007 Ringerike";"25-44 år";"Utdanningsnivå i alt";43.0;51.4
"3007 Ringerike";"25-44 år";"Grunnskolenivå";27.5;35.0
"3007 Ringerike";"25-44 år";"Videregående skolenivå";42.5;46.0
"3007 Ringerike";"25-44 år";"Universitets- og høgskolenivå";65.4;66.4
"3007 Ringerike";"25-44 år";"Uoppgitt eller ingen fullført utdanning";18.5;22.2
"3007 Ringerike";"45-66 år";"Utdanningsnivå i alt";62.5;68.8
"3007 Ringerike";"45-66 år";"Grunnskolenivå";46.0;50.5
"3007 Ringerike";"45-66 år";"Videregående skolenivå";66.4;69.4
"3007 Ringerike";"45-66 år";"Universitets- og høgskolenivå";78.9;83.4
"3007 Ringerike";"45-66 år";"Uoppgitt eller ingen fullført utdanning";15.7;28.2
"3007 Ringerike";"67-79 år";"Utdanningsnivå i alt";78.0;75.8
"3007 Ringerike";"67-79 år";"Grunnskolenivå";64.7;67.3
"3007 Ringerike";"67-79 år";"Videregående skolenivå";81.4;77.0
"3007 Ringerike";"67-79 år";"Universitets- og høgskolenivå";89.2;88.4
"3007 Ringerike";"67-79 år";"Uoppgitt eller ingen fullført utdanning";32.6;40.0
"3007 Ringerike";"80 år eller eldre";"Utdanningsnivå i alt";67.2;48.6
"3007 Ringerike";"80 år eller eldre";"Grunnskolenivå";55.0;41.1
"3007 Ringerike";"80 år eller eldre";"Videregående skolenivå";73.0;52.1
"3007 Ringerike";"80 år eller eldre";"Universitets- og høgskolenivå";75.7;73.0
"3007 Ringerike";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";80.0;22.2
"3011 Hvaler";"Alder i alt";"Utdanningsnivå i alt";69.5;73.6
"3011 Hvaler";"Alder i alt";"Grunnskolenivå";53.8;57.5
"3011 Hvaler";"Alder i alt";"Videregående skolenivå";72.6;75.2
"3011 Hvaler";"Alder i alt";"Universitets- og høgskolenivå";82.4;84.8
"3011 Hvaler";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";23.2;23.5
"3011 Hvaler";"18-19 år";"Utdanningsnivå i alt";56.6;72.0
"3011 Hvaler";"18-19 år";"Grunnskolenivå";55.8;72.0
"3011 Hvaler";"18-19 år";"Videregående skolenivå";.;.
"3011 Hvaler";"18-19 år";"Universitets- og høgskolenivå";.;.
"3011 Hvaler";"18-19 år";"Uoppgitt eller ingen fullført utdanning";99.8;.
"3011 Hvaler";"20-24 år";"Utdanningsnivå i alt";34.1;45.5
"3011 Hvaler";"20-24 år";"Grunnskolenivå";31.9;34.2
"3011 Hvaler";"20-24 år";"Videregående skolenivå";30.1;45.8
"3011 Hvaler";"20-24 år";"Universitets- og høgskolenivå";:;:
"3011 Hvaler";"20-24 år";"Uoppgitt eller ingen fullført utdanning";..;49.9
"3011 Hvaler";"25-44 år";"Utdanningsnivå i alt";59.5;68.9
"3011 Hvaler";"25-44 år";"Grunnskolenivå";36.3;36.5
"3011 Hvaler";"25-44 år";"Videregående skolenivå";62.8;71.6
"3011 Hvaler";"25-44 år";"Universitets- og høgskolenivå";76.8;79.1
"3011 Hvaler";"25-44 år";"Uoppgitt eller ingen fullført utdanning";38.8;14.3
"3011 Hvaler";"45-66 år";"Utdanningsnivå i alt";73.1;78.1
"3011 Hvaler";"45-66 år";"Grunnskolenivå";60.7;65.2
"3011 Hvaler";"45-66 år";"Videregående skolenivå";75.5;77.3
"3011 Hvaler";"45-66 år";"Universitets- og høgskolenivå";83.3;87.1
"3011 Hvaler";"45-66 år";"Uoppgitt eller ingen fullført utdanning";11.1;25.0
"3011 Hvaler";"67-79 år";"Utdanningsnivå i alt";82.2;81.7
"3011 Hvaler";"67-79 år";"Grunnskolenivå";75.8;67.7
"3011 Hvaler";"67-79 år";"Videregående skolenivå";82.9;83.3
"3011 Hvaler";"67-79 år";"Universitets- og høgskolenivå";87.0;91.4
"3011 Hvaler";"67-79 år";"Uoppgitt eller ingen fullført utdanning";..;25.0
"3011 Hvaler";"80 år eller eldre";"Utdanningsnivå i alt";70.9;54.8
"3011 Hvaler";"80 år eller eldre";"Grunnskolenivå";45.4;44.9
"3011 Hvaler";"80 år eller eldre";"Videregående skolenivå";80.4;58.6
"3011 Hvaler";"80 år eller eldre";"Universitets- og høgskolenivå";88.3;85.6
"3011 Hvaler";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";.;49.9
"3012 Aremark";"Alder i alt";"Utdanningsnivå i alt";76.4;76.7
"3012 Aremark";"Alder i alt";"Grunnskolenivå";65.3;58.9
"3012 Aremark";"Alder i alt";"Videregående skolenivå";83.4;81.4
"3012 Aremark";"Alder i alt";"Universitets- og høgskolenivå";82.3;94.6
"3012 Aremark";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";9.1;47.1
"3012 Aremark";"18-19 år";"Utdanningsnivå i alt";87.0;68.4
"3012 Aremark";"18-19 år";"Grunnskolenivå";87.0;68.4
"3012 Aremark";"18-19 år";"Videregående skolenivå";.;.
"3012 Aremark";"18-19 år";"Universitets- og høgskolenivå";.;.
"3012 Aremark";"18-19 år";"Uoppgitt eller ingen fullført utdanning";.;.
"3012 Aremark";"20-24 år";"Utdanningsnivå i alt";61.3;51.6
"3012 Aremark";"20-24 år";"Grunnskolenivå";46.2;50.0
"3012 Aremark";"20-24 år";"Videregående skolenivå";76.5;46.7
"3012 Aremark";"20-24 år";"Universitets- og høgskolenivå";.;:
"3012 Aremark";"20-24 år";"Uoppgitt eller ingen fullført utdanning";..;..
"3012 Aremark";"25-44 år";"Utdanningsnivå i alt";73.2;74.0
"3012 Aremark";"25-44 år";"Grunnskolenivå";56.5;37.0
"3012 Aremark";"25-44 år";"Videregående skolenivå";78.2;80.0
"3012 Aremark";"25-44 år";"Universitets- og høgskolenivå";76.0;97.6
"3012 Aremark";"25-44 år";"Uoppgitt eller ingen fullført utdanning";..;37.5
"3012 Aremark";"45-66 år";"Utdanningsnivå i alt";80.2;80.1
"3012 Aremark";"45-66 år";"Grunnskolenivå";68.7;64.5
"3012 Aremark";"45-66 år";"Videregående skolenivå";85.5;82.5
"3012 Aremark";"45-66 år";"Universitets- og høgskolenivå";93.3;90.8
"3012 Aremark";"45-66 år";"Uoppgitt eller ingen fullført utdanning";16.7;100.0
"3012 Aremark";"67-79 år";"Utdanningsnivå i alt";74.5;79.6
"3012 Aremark";"67-79 år";"Grunnskolenivå";57.1;45.5
"3012 Aremark";"67-79 år";"Videregående skolenivå";87.3;89.4
"3012 Aremark";"67-79 år";"Universitets- og høgskolenivå";71.4;100.0
"3012 Aremark";"67-79 år";"Uoppgitt eller ingen fullført utdanning";..;66.7
"3012 Aremark";"80 år eller eldre";"Utdanningsnivå i alt";73.7;82.0
"3012 Aremark";"80 år eller eldre";"Grunnskolenivå";62.5;78.3
"3012 Aremark";"80 år eller eldre";"Videregående skolenivå";83.3;86.4
"3012 Aremark";"80 år eller eldre";"Universitets- og høgskolenivå";:;:
"3012 Aremark";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";..;50.0
"3013 Marker";"Alder i alt";"Utdanningsnivå i alt";62.1;68.9
"3013 Marker";"Alder i alt";"Grunnskolenivå";52.3;57.3
"3013 Marker";"Alder i alt";"Videregående skolenivå";69.2;74.8
"3013 Marker";"Alder i alt";"Universitets- og høgskolenivå";77.7;80.1
"3013 Marker";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";24.2;33.9
"3013 Marker";"18-19 år";"Utdanningsnivå i alt";50.0;71.1
"3013 Marker";"18-19 år";"Grunnskolenivå";50.0;71.1
"3013 Marker";"18-19 år";"Videregående skolenivå";.;.
"3013 Marker";"18-19 år";"Universitets- og høgskolenivå";.;.
"3013 Marker";"18-19 år";"Uoppgitt eller ingen fullført utdanning";.;.
"3013 Marker";"20-24 år";"Utdanningsnivå i alt";46.1;55.2
"3013 Marker";"20-24 år";"Grunnskolenivå";35.9;39.1
"3013 Marker";"20-24 år";"Videregående skolenivå";60.4;63.6
"3013 Marker";"20-24 år";"Universitets- og høgskolenivå";:;:
"3013 Marker";"20-24 år";"Uoppgitt eller ingen fullført utdanning";..;..
"3013 Marker";"25-44 år";"Utdanningsnivå i alt";52.7;61.8
"3013 Marker";"25-44 år";"Grunnskolenivå";43.2;43.7
"3013 Marker";"25-44 år";"Videregående skolenivå";58.4;61.6
